method,restart,objective,success,lambdas,weights,L0,A,C,alpha,fit_group,fit_offset,p0,p1,p2,p3,p4,p5,p6,p7
KMTL-m3,9,1e+30,True,0.99|0.999|0.9999,0.375814|0.235068|0.389118,2.024467778229923,25.465909749424576,0.004685544734193212,0.3675481968480418,KMTL-m3,1,,,,,,,,
KMTL-m3,10,1e+30,True,0.99|0.999|0.9999,0.37538|0.423642|0.200978,1.8335753581688383,8.827559648968053,0.2674903878761459,0.20107092005911942,KMTL-m3,1,,,,,,,,
KMTL-m3,11,1e+30,True,0.99|0.999|0.9999,0.124384|0.473139|0.402477,2.0585956293935577,19.542474848015903,0.11615980833983897,0.33170831506677045,KMTL-m3,1,,,,,,,,
KMTL-m3,12,1e+30,True,0.99|0.999|0.9999,0.467534|0.214108|0.318358,2.2235221415301947,16.772758964151787,0.07981528782803611,0.3222059851925929,KMTL-m3,1,,,,,,,,
KMTL-m3,13,1e+30,True,0.99|0.999|0.9999,0.352005|0.425639|0.222356,2.5211612260321985,6.751719894751834,0.16261392074751813,0.2164966259906426,KMTL-m3,1,,,,,,,,
KMTL-m3,14,0.0003131960291431553,True,0.99|0.999|0.9999,0.229988|0.36021|0.409802,2.207420843014978,8.282395993671589,3.0173849365999812e-05,0.27539910996737327,KMTL-m3,1,,,,,,,,
KMTL-m3,15,0.0005022753755635535,True,0.99|0.999|0.9999,0.421584|0.29051|0.287906,2.443023048969313,138.5935146302739,2.001590170419703e-05,0.6341298751006497,KMTL-m3,1,,,,,,,,
KMTL-m3,16,1e+30,True,0.99|0.999|0.9999,0.259455|0.409952|0.330593,2.009853719889615,6.297036228561881,0.0015159609810135282,0.16426475901115295,KMTL-m3,1,,,,,,,,
KMTL-m3,17,1e+30,True,0.99|0.999|0.9999,0.482858|0.38015|0.136992,2.0693456475288268,380.27847071041725,0.04309907895275795,0.7621212529758005,KMTL-m3,1,,,,,,,,
KMTL-m3,18,1e+30,True,0.99|0.999|0.9999,0.499839|0.318401|0.18176,2.2302770486048225,218.54949861576262,0.01365210546538695,0.694322576858152,KMTL-m3,1,,,,,,,,
KMTL-m3,19,1e+30,True,0.99|0.999|0.9999,0.348387|0.175954|0.475658,1.7977264853379868,6.440818410573793,0.1266521613891457,0.1531076664523335,KMTL-m3,1,,,,,,,,
FSL-MPL+ small,0,0.009651580584584957,True,,,,,,,FSL-MPL+ small,2,2.1134114832253936,21.655063226749597,39.56599567652191,0.2645544852124861,1.2095356606904207e-05,0.6139975595600919,0.4087431147814938,
