curve_key,schedule_type,model_size,dataset_size,number_of_points,min_step,max_step,loss_column,lr_column,peak_lr,final_lr,raw_final_loss,ema_final_loss,last_1000_raw_loss_std,used_in_main_fit,used_in_main_test,notes
M:100M_gpt_D:20B_scheduler:811_rope,811,100M,20B,33908,0,33907,Metrics/loss,lr,0.001,9.999999999999999e-05,2.6402993202209473,2.6635760977609073,0.04014390938975407,False,False,Readme: pandas pkl; Metrics/loss is loss; lr is learning rate; 811 decays at 80% and 90%.
M:100M_gpt_D:20B_scheduler:cosine_rope,cosine,100M,20B,33907,0,33907,Metrics/loss,lr,0.001,9.999999999999999e-05,2.646177291870117,2.666989217070931,0.04024617799770588,True,False,Readme: pandas pkl; Metrics/loss is loss; lr is learning rate; 811 decays at 80% and 90%.
M:100M_gpt_D:20B_scheduler:wsd_rope,wsd,100M,20B,33907,0,33907,Metrics/loss,lr,0.001,0.0001,2.6357319355010986,2.658337479452532,0.04022234844951567,False,True,Readme: pandas pkl; Metrics/loss is loss; lr is learning rate; 811 decays at 80% and 90%.
