protocol,method,schedule,role,target,region,r2,mae,rmse,finale,relative_finale,worste,mape,auc_error,tailmean_error,n_points
strict,KMTL-m2,cosine,fit,ema,full,0.8747507731775946,0.04109435070622862,0.06869866462412573,0.005471127646244689,0.002051424734387735,0.28897900294492285,0.013536748107642113,0.04104449025983682,0.007604675248205073,1647
strict,KMTL-m2,cosine,fit,ema,tail20,0.5854457525921191,0.004562093176201321,0.005411627729672062,0.005471127646244689,0.002051424734387735,0.014647512906834415,0.0017032012498193715,0.004556401171696152,0.00014773586115746085,330
strict,KMTL-m2,cosine,fit,ema,decay,0.5854457525921191,0.004562093176201321,0.005411627729672062,0.005471127646244689,0.002051424734387735,0.014647512906834415,0.0017032012498193715,0.004556401171696152,0.00014773586115746085,330
strict,KMTL-m2,cosine,fit,ema,final1000,-5.297147480822337,0.0052057090587749755,0.005611650569715005,0.005471127646244689,0.002051424734387735,0.009937615627877872,0.0019519323663388453,0.005165676090925921,0.005151331554011485,51
strict,KMTL-m2,cosine,fit,ema,stable,0.8517823137925866,0.05024821933562042,0.0767771625636171,0.009394347964175154,0.0034880317118360727,0.28897900294492285,0.016501873743998603,0.05019132113175229,0.009473156643592606,1317
strict,KMTL-m2,cosine,fit,raw,full,0.7706906596784209,0.058712747906025035,0.0894622906025254,0.026283052847058563,0.0099324610364575,0.45720408464878926,0.019751498754879748,0.058601550566509904,0.01144319938904248,1647
strict,KMTL-m2,cosine,fit,raw,tail20,0.02855315989223728,0.03155929392937654,0.04009856428988301,0.026283052847058563,0.0099324610364575,0.13606274383565387,0.01180355103902216,0.03159440319860394,0.0007147568826386674,330
strict,KMTL-m2,cosine,fit,raw,decay,0.02855315989223728,0.03155929392937654,0.04009856428988301,0.026283052847058563,0.0099324610364575,0.13606274383565387,0.01180355103902216,0.03159440319860394,0.0007147568826386674,330
strict,KMTL-m2,cosine,fit,raw,final1000,-0.06330192508545229,0.03469895704266427,0.044149086964901274,0.026283052847058563,0.0099324610364575,0.12455559707184438,0.013119720235456628,0.034567136667696396,0.010837175507345531,51
strict,KMTL-m2,cosine,fit,raw,stable,0.7347101772930753,0.06551657464277066,0.09801043429280437,0.009334116585582919,0.0034657458816291504,0.45720408464878926,0.021743011849969348,0.065389103118474,0.014131419607047668,1317
strict,KMTL-m2,wsd,test,ema,full,0.6781139430870087,0.0903213161896327,0.1028559467027517,0.05087278054013211,0.019137066280466786,0.291005203211288,0.03121670601470362,0.09028579368954348,0.04418459300960764,1647
strict,KMTL-m2,wsd,test,ema,tail20,-4.737997823304738,0.07759206244166045,0.08050391079897184,0.05087278054013211,0.019137066280466786,0.12663680106884723,0.02863663216872254,0.0775627787187471,0.07759206244165995,330
strict,KMTL-m2,wsd,test,ema,decay,-4.341018328600799,0.079144274150443,0.0824028423320442,0.05087278054013211,0.019137066280466786,0.13306353227458967,0.029174117465972295,0.07911053533019027,0.07914427415044312,340
strict,KMTL-m2,wsd,test,ema,final1000,-334.17059407037686,0.05318895054355512,0.05324701473192699,0.05087278054013211,0.019137066280466786,0.059329508917288276,0.01998101980360125,0.05322890794417279,0.05318895054355499,51
strict,KMTL-m2,wsd,test,ema,stable,0.6520740485879012,0.0932288864217096,0.10754086720708342,0.1283993812515889,0.046226089998170294,0.291005203211288,0.03174806034260619,0.09315666148658669,0.03509026126677384,1307
strict,KMTL-m2,wsd,test,raw,full,0.5478030948956039,0.09603982563418462,0.11721983263865887,0.028267236588698896,0.01072462499238368,0.45222462827103804,0.03296745819631795,0.09595221560575466,0.03998096804269702,1647
strict,KMTL-m2,wsd,test,raw,tail20,-1.8664803304507411,0.07763406989140742,0.08819694089697894,0.028267236588698896,0.01072462499238368,0.20790724441921649,0.028493603342223294,0.07767831187002144,0.07573957285870936,330
strict,KMTL-m2,wsd,test,raw,decay,-1.840273781125358,0.07907358252038471,0.0897670204341011,0.028267236588698896,0.01072462499238368,0.20790724441921649,0.028992413215662614,0.07904338718397848,0.07723480598864851,340
strict,KMTL-m2,wsd,test,raw,final1000,-1.206555158868444,0.0549840397138168,0.06361758373007864,0.028267236588698896,0.01072462499238368,0.11930677682774604,0.02054917506514222,0.054649273308525856,0.047105340585155364,51
strict,KMTL-m2,wsd,test,raw,stable,0.49165332528556605,0.10045338543425496,0.12336404765344204,0.15937149521780158,0.05674388513627361,0.45222462827103804,0.03400151733436143,0.10029615367597763,0.030289839579328515,1307
strict,KMTL-m2,811,extra_unseen,ema,full,0.6906550724945903,0.08997445779588084,0.10241553167733933,0.05237688588288236,0.019664122202820544,0.2894194752313619,0.03108224348172997,0.08994042034213677,0.045971904596627144,1647
strict,KMTL-m2,811,extra_unseen,ema,tail20,-10.259298985875326,0.06645236859804204,0.0675368706349553,0.05237688588288236,0.019664122202820544,0.09427423975050386,0.024697053786269893,0.0664314774302042,0.06645236859804182,330
strict,KMTL-m2,811,extra_unseen,ema,decay,-7.616986696012814,0.06792147975981128,0.06949383820337156,0.05237688588288236,0.019664122202820544,0.13365398496683012,0.025209365251207923,0.06784745629177277,0.06792147975981155,340
strict,KMTL-m2,811,extra_unseen,ema,final1000,-497.31414079989975,0.05318806388862053,0.05324021052589139,0.05237688588288236,0.019664122202820544,0.05983760337538824,0.01995878313014387,0.053236857686909236,0.05318806388862152,51
strict,KMTL-m2,811,extra_unseen,ema,stable,0.6392522001067195,0.09571126922071915,0.10936728456172697,0.13279161267622364,0.047731894818072586,0.2894194752313619,0.03261000063427587,0.09564197657076923,0.04026199215938053,1307
