method,lambda,restart,objective,success,L0,A,C,alpha
MTL,0.9,0,0.00021364240997127324,True,2.7561173124267606,613.5027148214294,0.01790788275836802,0.914799902649023
MTL,0.9,1,0.029626444652087296,True,2.0796679151469166,5.780500022411042,0.0005822019376043251,0.15695706762799438
MTL,0.9,2,0.019358065550317823,True,2.3137828967753693,10.398294340588459,0.005594941635588848,0.26040722289621493
MTL,0.9,3,0.00013774294228963062,True,2.8302629211724777,7336.06442023363,0.021315001250472844,1.2548387761453652
MTL,0.9,4,0.011219081469508362,True,1.842290648215465,8.834555307995105,0.020797590615759563,0.20175997155351008
MTL,0.9,5,1e+30,True,2.5280162005529996,6.912002205962998,2.246377799294712,0.2205497571246935
MTL,0.9,6,0.014144034339215482,True,2.394959866032752,20.08752422109964,0.00014197376652512434,0.3627064238684648
MTL,0.9,7,1e+30,True,2.3406722893997696,15205.753314444686,1.8967192366564931,1.3174959430865094
MTL,0.9,8,0.0003303286218742978,True,2.626813906202366,63.491869049759195,0.015276056961772309,0.5956322548608232
MTL,0.9,9,0.006845645615035249,True,2.3652028111009193,37.1884048882922,0.0003661466505319444,0.4492452011826371
MTL,0.9,10,0.0001660109204993154,True,2.849890056433681,18546.786140234864,0.022520441526850413,1.3826668711214234
MTL,0.9,11,0.00031818755101736855,True,2.647535812746339,80.3879203035157,0.015596232051701632,0.6301370446084367
MTL,0.9,12,0.00025554438764293166,True,2.723310655106279,272.7155925246275,0.01706099460483026,0.8032774355284437
MTL,0.9,13,0.026464113776732797,True,2.4250531042616665,7.824606803031367,0.001585673433260194,0.22892729303609205
MTL,0.9,14,0.00022408917758925422,True,2.748882771571255,501.6685058783067,0.017708967487529825,0.8873077736419759
MTL,0.9,15,0.00039669483589204965,True,2.4911589039124347,16.238523218245277,0.014507629970347116,0.4025124918471376
MTL,0.9,16,1e+30,True,1.988673318387369,3019.7954462703115,7.098496877995873,1.0561967194056112
MTL,0.9,17,0.0022567096446796976,True,2.085679096505337,27.380998636492407,0.0009146590782861563,0.38252008265769666
MTL,0.9,18,1e+30,True,1.7586417898231985,78.77196081746122,0.31651399215952447,0.5130056926708226
MTL,0.9,19,0.013386570886194068,True,2.583916388748297,9.24759484103084,0.038287623571272814,0.2681577570373712
MTL,0.9,20,0.00020995824418873905,True,2.758691668477685,658.552579344987,0.017991571265854253,0.9244813821863047
MTL,0.9,21,0.00017641461832805107,True,2.8546303145369865,24962.564141089773,0.022799075360881358,1.423406636492611
MTL,0.9,22,0.00018155187531885273,True,2.8568726777336346,28837.92714509115,0.022937178252062023,1.4431878716677824
MTL,0.9,23,0.006528761487261878,True,2.3848267578191695,40.53952240833355,0.0006458355446410899,0.4634451860890808
MTL,0.9,24,0.00015267237652391558,True,2.8421642349539398,12443.520093709394,0.022040189028596148,1.3277518089840787
MTL,0.9,25,1e+30,True,1.8725002923805645,113.5589618927956,5.944593721094147,0.573375253132472
MTL,0.9,26,0.00021171129210531057,True,2.868050876289537,65542.84613781178,0.023650433422574595,1.5554020981669303
MTL,0.9,27,0.00037489684725274013,True,2.5171880148469827,27.093623609329313,0.013808475725453228,0.4657312413415354
MTL,0.9,28,0.0003363831318270518,True,2.6155909984849637,56.461869881520485,0.015120390322143257,0.5783492086295892
MTL,0.9,29,0.0003666844353866002,True,2.584351849465175,30.35486923468955,0.015251083793143903,0.49934534910052036
MTL,0.9,30,0.00044305985822981045,True,2.121534999588782,7.74358877677295,0.011611495198855985,0.25138891865717733
MTL,0.9,31,1e+30,True,1.8178039643658253,4514.753605261234,0.7243924952779265,1.1027913480483322
MTL,0.9,32,0.012917886053150486,True,2.5920627613897955,38.08558135286103,0.0017114432725481392,0.47384357558294166
MTL,0.9,33,0.0011058578839946815,True,2.289377508622564,54.36951405697316,0.000415293719042577,0.49778574009295096
MTL,0.9,34,0.0003011253246364154,True,2.672775087675087,112.1172498279168,0.01603464304487086,0.6781203677653941
MTL,0.9,35,0.0003008432581491766,True,2.673172748671158,112.73626790235933,0.01604359249666607,0.678907532121435
MTL,0.9,36,0.015369776631836482,True,1.8348905236722581,8.078183949862813,0.015312207553010328,0.18831766268232
MTL,0.9,37,0.00044537949327512813,True,2.1027483718707,7.031383707594618,0.011919957920360017,0.2382776243274581
MTL,0.9,38,0.00020811778752255911,True,2.7598307239579167,682.2771198246737,0.018020476382986466,0.9292826638329718
MTL,0.9,39,0.00033227892701911705,True,2.6234154273570196,61.138028369636196,0.015224779749549737,0.590162781173775
MTL,0.9,40,0.0007551944832946079,True,1.9140218456499027,25.08279731964674,0.0016679233998569906,0.35412781442976715
MTL,0.9,41,0.0004630552680742712,True,1.8375198322191442,5.0428176844052075,0.012661824048219496,0.17008206935955117
MTL,0.9,42,1e+30,True,2.311786455668179,31.230133130386264,8.580997100251697,0.41941204166832635
MTL,0.9,43,0.0003040399774685191,True,2.6687902261321472,105.91717297313917,0.015964165467785646,0.6699738758711645
MTL,0.9,44,1e+30,True,2.5188353731512274,263.440720512703,0.590551058441198,0.7465931190052685
MTL,0.9,45,0.00014002300553996462,True,2.8323904192039997,8025.090242224135,0.02144090316973472,1.2672427694215098
MTL,0.9,46,1e+30,True,2.1567117572113927,806.1640353185528,1.6020917122533793,0.8774575408548522
MTL,0.9,47,1e+30,True,2.3534865850083486,260.847137997373,4.296423703636815,0.730170157688539
MTL,0.9,48,0.0003624543608627835,True,2.59468608489834,33.170414192705685,0.015361065756659721,0.5127083883225666
MTL,0.9,49,0.0005065087572475909,True,1.7639539045897097,9.076822090241231,0.00634727825349153,0.22803859921801548
MTL,0.95,0,0.0004294158523335885,True,2.312609788899867,16.90237533790485,0.0050519661674353206,0.36889293745865015
MTL,0.95,1,0.03156032897916754,True,2.577229850731519,5.93174130418382,0.0014063412010584906,0.2032223037496391
MTL,0.95,2,0.00046852698587456957,True,1.8546222839409174,7.541623248398421,0.004316048543782796,0.2168747884049186
MTL,0.95,3,0.0010157868553618528,True,2.3025559255979573,151.98527372153333,0.000723474455078472,0.6090596006536104
MTL,0.95,4,0.00019396947056726508,True,2.7684581532792736,887.3320387850293,0.009147233926684723,0.9649735299368299
MTL,0.95,5,0.011402951968940447,True,2.5032419975035514,33.936543256403205,0.0006106019553379072,0.4484975821733361
MTL,0.95,6,1e+30,True,1.8761671281724406,1207.45416022465,0.20249583158535117,0.9157703157881733
MTL,0.95,7,0.0003349436113869061,True,2.61699959219161,57.61148722659234,0.007565168968801036,0.5811099819655555
MTL,0.95,8,0.03425534570961442,True,2.5940767502275897,5.153479729210905,0.0004913408721188446,0.1845493001523573
MTL,0.95,9,0.02784304208288887,True,2.091491465737398,6.108377686621249,0.001288475384890224,0.16582062289661104
MTL,0.95,10,0.0002553616299754785,True,2.722942445942333,271.18074950504007,0.008524350077850663,0.8024667209205547
MTL,0.95,11,1e+30,True,2.133411180990109,3254.0036548210537,3.1338669124949083,1.0776307727180219
MTL,0.95,12,1e+30,True,2.1622599721075466,19.135201847353386,2.1240151100492386,0.3364619749543645
MTL,0.95,13,1e+30,True,1.96173954821878,67.40045642897948,3.372677977323685,0.5039729054751213
MTL,0.95,14,1e+30,True,2.4731564410611857,36.446876978701866,0.9933883809007341,0.4560094310988226
MTL,0.95,15,0.011943504678910307,True,2.230197639452524,17.670955091064993,0.0002691815944893335,0.3302909898688779
MTL,0.95,16,0.00020749164602429615,True,2.7597737739315833,683.9056825351497,0.009006038566279816,0.9295719318179686
MTL,0.95,17,0.0001261838901616104,True,2.8111864003476037,3722.151347888528,0.010084885142959571,1.16076977421281
MTL,0.95,18,0.000505475940029981,True,1.7631633454120998,9.01208816845912,0.0032054251599413037,0.2271684460363481
MTL,0.95,19,0.00024308794176502196,True,2.7336522736587163,344.1207709051559,0.008653710741532731,0.8354508156225046
MTL,0.95,20,0.00043034780617689193,True,2.295654471228382,8.299482959479828,0.006779925235894879,0.2863020933005211
MTL,0.95,21,0.00016689483687466744,True,2.850237226183728,19176.01074390017,0.01126662904300435,1.3872017643474501
MTL,0.95,22,1e+30,True,2.4214325299179427,170.24602003416675,0.6809279725394917,0.6743860327497097
MTL,0.95,23,0.00032459008768034875,True,2.6361018244456713,70.39998313582548,0.0077045670904442,0.6107767258012796
MTL,0.95,24,1e+30,True,2.571368580894995,4.470623176823579,3.394272129675646,0.1617111161234139
MTL,0.95,25,0.0046756147038823125,True,2.596136176866411,61.51694858840306,0.007538786081922716,0.5436508147961295
MTL,0.95,26,0.0005721313268569708,True,1.7485255405753095,11.818841444396467,0.001434382599970448,0.25654263810100286
MTL,0.95,27,0.00012985784014329718,True,2.822214384305554,5193.897319288832,0.010426628759867891,1.207913884969595
MTL,0.95,28,1e+30,True,2.0154249115363494,7.831353784629388,0.49028138832657236,0.19622436803367704
MTL,0.95,29,1e+30,True,1.882038733919343,13.472198041426887,1.5120218650730044,0.26548154876796615
MTL,0.95,30,0.0004180282447015985,True,2.359236811857114,10.943573669221799,0.006584759426726462,0.32914581763609363
MTL,0.95,31,0.00020530731271454589,True,2.761196597017568,713.2555002565275,0.00902742825062306,0.9352990377838345
MTL,0.95,32,1e+30,True,1.8932297075318898,55.67383051329345,0.2571026752525825,0.4716001337044421
MTL,0.95,33,0.0002053417977963013,True,2.7612007147009887,712.7795023427566,0.00902864266765201,0.9352078817030615
MTL,0.95,34,0.0003129067882025756,True,2.6550849999720225,88.35492088868551,0.007859785777489189,0.6438321115291177
MTL,0.95,35,0.0264258286868169,True,2.1288211954507137,6.679696282359575,0.0009722459739621124,0.18157018759494287
MTL,0.95,36,0.0002492688113017321,True,2.7283717916767736,305.24036404988254,0.008588619762791284,0.818868358927686
MTL,0.95,37,1e+30,True,2.5974426816268297,236.4140394287452,1.3459205996636128,0.7386370038338937
MTL,0.95,38,0.0003474513095756867,True,2.6190658330030705,44.99115208570465,0.007759975616718017,0.5552032309061051
MTL,0.95,39,0.011432694273306203,True,1.7877594538768333,8.97400624008129,0.008892944538728095,0.20046970710578674
MTL,0.95,40,0.0003939288499792219,True,2.500536682256622,17.05771413992211,0.007287301757763809,0.4104377424290575
MTL,0.95,41,1e+30,True,2.0968752577206917,5.806555825264841,1.9378688814143976,0.15888800271100215
MTL,0.95,42,0.0001989565015454779,True,2.765319451699534,805.9950624041019,0.009094617282186955,0.9519206896478851
MTL,0.95,43,0.0003187579724278884,True,2.6458424200240587,78.84661383774402,0.007782233458839457,0.6273074127267739
